試驗藥品監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
Aceclofenac tab 100mg,五洲,衛署藥製 046613,Y,,,931103,Airtal tab 100mg,Ind Farma Almirall Pro,Spain
Aceclofenac tab 100mg,永勝,衛署藥製057239,,Y,,1001103,Tonec tab 100mg,五洲,Taiwan
Acemetacin cap 60mg,信元,衛署藥製 040011,,Y,,850510,Rantudil cap 60mg,Troponwerke,Germany
Acemetacin cap 60mg,五洲,衛署藥製 043545,,Y,,890208,Rantudil cap 60mg,Troponwerke,Germany
Acyclovir tab 200mg,永信,衛署藥製 034583,,Y,,800812,Zovirax tab 200mg,Wellcome,England
Acyclovir tab 200mg,回春堂,衛署藥製 039629,,,Y,841128,Zovirax tab 200mg,Wellcome,England
Acyclovir tab 200mg,中化,衛署藥製 040090,,,Y,850612,Acylete tab 400mg,中國化學,Taiwan
Acyclovir tab 200mg,生達,衛署藥製 042755,,Y,,871027,Zovirax tab 200mg,Wellcome,England
Acyclovir tab 200mg,信東,衛署藥製 046143,,,Y,930107,Acylo tab 400mg ,信東,Taiwan
Acyclovir tab 400mg,中化,衛署藥製 039315,,Y,,840911,Zovirax tab 400mg,Wellcome,England
Acyclovir tab 400mg,回春堂,衛署藥製 039628,,,Y,841128,Zovirax tab 400mg,Wellcome,England
Acyclovir tab 400mg,景德,衛署藥製 042280,,,Y,870519,Deviro tab 800mg,景德,Taiwan
Acyclovir tab 400mg,信東,衛署藥製 044122,,Y,,890927,Zovirax tab 400mg,Wellcome,England
Acyclovir tab 400mg,雙正,衛署藥輸 022927,,Y,,890607,Zovirax tab 400mg,Wellcome,England
Acyclovir tab 400mg,國嘉,衛署藥製 057292,,Y,,1010704,Zovirax tab 400mg,Glaxo Smithkline,Australia
Acyclovir tab 800mg,回春堂,衛署藥製 039036,,Y,,840613,Zovirax tab 800mg,Wellcome,England
Acyclovir tab 800mg,永信,衛署藥製 039368,,Y,,840911,Zovirax tab 800mg,Wellcome,England
Acyclovir tab 800mg,景德,衛署藥製 039854,,Y,,850213,Zovirax tab 800mg,Wellcome,U.S.A.
Alendronate tab 10mg,科化,衛署藥製055937,,,Y,991008,Covaxin tab 70mg,華興,Taiwan
Alendronate tab 70mg,科化,衛署藥製 049787,,Y,,970826,Fosamax tab 70mg,M.S.D.,Mexico
Alendronate tab 70mg,杏輝,衛署藥製 057366,,Y,,1010511,Fosamax Plus tab 70mg,MSD Frosst Iberica ,Spain
Alfuzosin tab 10mg,生達,衛署藥製 047903,,Y,,971223,Xatral XL tab 10mg,Sanofi Winthrop,France
Alfuzosin tab 10mg,十全,衛署藥製 050006,,Y,,971219,Xatral XL tab 10mg,Sanofi Winthrop,France
Alfuzosin XL tab 10mg,萬菱,衛署藥製 047771,,Y,,950106,Xatral XL tab 1200mg,Synthelabo,France
Alminoprofene tab 300mg,吉富,衛署藥輸 023536,,Y,,940613,Minalfene tab 300mg,Bouchara,France
Alprazolam SR tab 0.5mg,寶齡富錦,衛署藥製 049291,,,Y,960906,Alpragin SR tab 1mg,寶齡富錦,Taiwan
Alprazolam SR tab 1mg,寶齡富錦,衛署藥製 048556,,Y,,960119,Xanax XR tab 1mg,Sanico,Belgium
Alprazolam tab 0.25mg,健亞,衛署藥製 042948,,,Y,880330,Gendergin tab 0.5mg,健亞,Taiwan
Alprazolam tab 0.5mg,健亞,衛署藥製 042514,,Y,,870706,Xanax tab 0.5mg,Upjohn ,Belgium
Alprazolam tab 0.5mg,中化,衛署藥製 042537,,Y,,870801,Xanax tab 0.5mg,Upjohn ,Taiwan
Alprazolam tab 0.5mg,景德,衛署藥製 042686,,,Y,870921,Kinax tab 1mg,景德,Taiwan
Alprazolam tab 0.5mg,永信,衛署藥製 044546,,Y,,900615,Xanax tab 0.5mg,Upjohn ,Belgium
Alprazolam tab 0.5mg,信東,衛署藥製 044685,,Y,,901012,Xanax tab 0.5mg,Upjohn ,Belgium
Alprazolam tab 0.5mg,五洲,衛署藥製 045070,,Y,,910207,Xanax tab 0.5mg,Upjohn ,Belgium
Alprazolam tab 0.5mg,景德,衛署藥製 042686,,Y,,950106,Xanax tab 0.5mg,Pharmacia&Upjohn ,Belgium
Alprazolam tab 0.5mg,寶齡富錦,衛署藥製 052554,,,Y,990305,Alpragin tab 2mg,寶齡富錦,Taiwan
Alprazolam tab 1mg,景德,衛署藥製 041465,,Y,,860602,Xanax tab 0.5mg,Upjohn,Taiwan
Alprazolam tab 1mg,健亞,衛署藥製 044011,,Y,,890523,Xanax tab 1mg,Upjohn,Belgium
Alprazolam tab 1mg,寶齡富錦,衛署藥製 049854,,,Y,971205,Alpragin tab 2mg,寶齡富錦,Taiwan
Alprazolam tab 2mg,寶齡富錦,衛署藥製 047961,,Y,,950503,Xanax tab 2mg,Pharmacia&Upjohn ,U.S.A.
Ambroxol  CR cap 75mg,信東,衛署藥製057188,,Y,,1000826,Mucosolvan C.R. cap 75mg,Boehringer Ingelheim,Germany
Ambroxol oral soln 3mg/ml,生達,衛署藥製 041236,,Y,,900208,Mucosolvan liquid solution 3mg/ml,Boehringer Ingelheim,Taiwan
Ambroxol oral soln 3mg/ml,榮民,衛署藥製 052116,,Y,,980117,Mucosolvan Liquid 3mg/ml,百靈佳委託健喬信元,Taiwan
Ambroxol SR cap 75mg,井田,衛署藥製 052533,,Y,,990206,Loxol S.R. tab 75mg,健亞,Taiwan
Ambroxol SR tab 75mg,健亞,衛署藥製 046386,Y,,,930701,Mucosolvon R.cap 75mg,Boehringer Ingelheim,Germany
Ambroxol SR tab 75mg,永信,衛署藥製 050342,,Y,,970807,Loxol SR tab 75mg,健亞,Taiwan
Ambroxol SR tab 75mg,正和,衛署藥製 050227,,Y,,971225,Loxol SR tab 75mg,健亞,Taiwan
Ambroxol tab 30mg,永信,衛署藥製 031662,,Y,,881215,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,生達,衛署藥製 031896,,Y,,870122,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,井田,衛署藥製 031912,,Y,,880319,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,衛達,衛署藥製 031999,,Y,,911107,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,優生,衛署藥製 032524,,Y,,930211,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,國嘉,衛署藥製 032880,,Y,,920331,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,瑞士,衛署藥製 033049,,Y,,920424,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,世達,衛署藥製 033203,,Y,,920307,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,羅得,衛署藥製 033204,,Y,,901231,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,杏輝,衛署藥製 033415,,Y,,910410,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,強生,衛署藥製 033939,,Y,,920306,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,應元,衛署藥製 034862,,Y,,890522,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,皇佳,衛署藥製 035060,,Y,,920305,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,福元,衛署藥製 035981,,Y,,930505,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,中化,衛署藥製 036151,,Y,,871211,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,壽元,衛署藥製 037875,,Y,,930910,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Ambroxol tab 30mg,臺裕,衛署藥製 040302,,Y,,920218,Mucosolvan tab 30mg,Boehringer Ingelheim,Taiwan
Amezinium Metilsulfate tab 10mg,鴻傑,衛署藥製 057228,,Y,,1001031,Risumic tab 10mg,大日本住友製藥株式會社,Japan
Amisulpride tab 200mg,鼎泰,衛署藥製 049097,,Y,,960906,Solian tab 200mg,Sanofi Winthrop ,France
Amisulpride tab 200mg,十全,衛署藥製 051192,,Y,,980414,Solian tab 200mg,Sanofi Winthrop,France
Amisulpride tab 200mg,瑞士,衛署藥製 048867,,Y,,960615,Solian tab 200mg,Sanofi-Winthrop,France
Amisulpride tab 200mg,瑩碩,衛署藥製 049657,,,Y,970905,Cospirit tab 400mg,健亞,Taiwan
Amisulpride tab 200mg,中化,衛署藥製 055051,,Y,,990628,Solian tab 200mg,Sanofi-Winthrop,France
Amisulpride tab 200mg,信東,衛署藥製055556,,Y,,990824,Solian tab 200mg,Sanofi Winthrop,France
Amisulpride tab 200mg,景德,衛署藥製 055974,,Y,,991014,Solian tab 200mg,Sanofi Winthrop,France
Amisulpride tab 400mg,營碩,衛署藥製 049374,,Y,,961228,Solian tab 200mg,Sanofi-Winthrop,France
Amisulpride tab 50mg ,新瑞,衛署藥製 052347,,,Y,981030,Ribelite tab 200mg,瑞士,Taiwan
Amlodipine besylate/Benazepril HCl tab 5/10mg,晟德,衛署藥製 057325,,Y,,1001031,Amtrel tab 5/10mg,東洋,Taiwan
Amlodipine tab 10mg,南光,衛署藥製 044687,,Y,,900718,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 10mg,華興,衛署藥製 047632,,Y,,940816,Norvasc tab 10mg,Pfizer,Taiwan
Amlodipine tab 10mg,羅得,衛署藥製 052520,,Y,,990205,Norvasc 10mg,Pfizer,Italy
Amlodipine tab 10mg,寶齡富錦,衛署藥製 049966,,,Y,980106,Amlodine tab 5mg,寶齡富錦,Taiwan
Amlodipine tab 10mg,台灣諾華,衛署藥輸 025198,,Y,,980925,Norvasc tab 10mg,Pfizer,Australia
Amlodipine tab 10mg,井田,衛署藥製056716,,,Y,1000308,Yawaho tab 5mg,井田,Taiwan
Amlodipine tab 10mg ,永信,衛署藥製 044925,,,Y,910304,Ampin tab 5mg,永信,U.S.A.
Amlodipine tab 5mg,信元,衛署藥製 042704,,Y,,871102,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,信東,衛署藥製 044371,,Y,,900208,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,永信,衛署藥製 044475,,Y,,900514,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,生達,衛署藥製 044607,,Y,,900803,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,寶齡富錦,衛署藥製 045085,,Y,,910802,Norvasc tab 5mg,Pfizer,Taiwan
Amlodipine tab 5mg,南光,衛署藥製 045448,,,Y,910606,Amilo tab 10mg,南光,Australia
Amlodipine tab 5mg,豪宏,衛署藥製 045670,,Y,,920707,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,衛達,衛署藥製 047093,,Y,,940304,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,井田,衛署藥製 045187,,Y,,910927,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,台灣新林,衛署藥製 048465,,Y,,951207,Norvasc tab 10mg,Pfizer,Australia
Amlodipine tab 5mg,景德,衛署藥製 048313,,Y,,950718,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,恆生,衛署藥製 048600,,Y,,960122,Norvasc tab 10mg,Pfizer,Australia
Amlodipine tab 5mg,華興,衛署藥製 048833,,,Y,960313,Amcopine tab 10mg,華興,Taiwan
Amlodipine tab 5mg,瑞士,衛署藥製 048994,,Y,,960820,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,世達,衛署藥製 048859,,Y,,960615,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,吉富,衛署藥輸 024898,,Y,,970617,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,海喬,衛署藥輸 025202,,Y,,990312,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,羅得,衛署藥製055552,,,Y,991110,"DU.Q tab 10mg ""ROOT""",羅得,Taiwan
Amlodipine tab 5mg ,壽元,衛署藥製 042840,,Y,,880212,Norvasc tab 5mg,Pfizer,Taiwan
Amlodipine tab 5mg ,中化,衛署藥製 042857,,Y,,880202,Norvasc tab 5mg,Pfizer,Taiwan
Amlodipine tab 5mg ,瑪科隆,衛署藥製 042917,,Y,,880329,Norvasc tab 5mg,Pfizer,Australia
Amlodipine tab 5mg,平廷,衛署藥製 042704,,,Y,1030505,Nobar tab 5mg,健喬信元,Taiwan
Amlodipine/ Benazepril cap 5mg/10mg,萬菱,衛署藥製056647,,Y,,1000413,Lotrel cap 5mg/10mg,Novartis,U.S.A.
Amlodipine/ Benazepril tab 5mg/10mg ,台灣東洋,衛署藥製 046742,Y,,,931224,Lotrel cap (5+10)mg,Novartis,U.S.A.
Amlodipine/Valsartan tab 5mg/80mg,元豐泰,衛部藥製058112,,Y,,1021014,Exforge F.C. Tab 5mg/80mg,Novartis ,Spain
Amoxicillin/ Clavulanic acid  syrup 25mg/ml/ 6.25mg/ml,永信,衛署藥製 044123,,Y,,910225,Augmentin (125mg+31.25mg/5ml),Beecham,England
Amoxicillin/ Clavulanic acid  syrup 25mg/ml/ 6.25mg/ml,中化,衛署藥製 045379,,Y,,920206,Augmentin (125mg+31.25mg/5ml),Beecham,England
Amoxicillin/ Clavulanic acid  tab 250mg/125mg,永信,衛署藥製 044713,,Y,,901022,Augmentin tab 375mg,Beecham,England
Amoxicillin/ Clavulanic acid  tab 250mg/125mg,中化,衛署藥製 043952,,,Y,890713,Anbicyn tab 625mg,中化,Taiwan
Amoxicillin/ Clavulanic acid  tab 500mg/125mg,中化,衛署藥製 042660,,Y,,870622,Augmentin 625mg tab ,Smithkline Beecham,U.S.A.
Amoxicillin/ Clavulanic acid  tab 500mg/125mg,永信,衛署藥製 045276,,Y,,911114,Augmentin 625mg tab ,Smithkline Beecham,U.S.A.
Amoxicillin/ Clavulanic acid  tab 875mg/125mg,台灣諾華,衛署藥輸 024808,,Y,,970226,Augmentin tab ,Smithkline Beecham,U. K.
Ampicillin/ Sulbactam inj 1g/0.5g ,中化,衛署藥製 042756,,Y,,880105,Unasyn inj 1.5gm,Pfizer,Italy
Ampicillin/ Sulbactam inj 1g/0.5g ,永信,衛署藥製 046544,,Y,,930917,Unasyn inj 1.5gm,Pfizer,Italy
Anastrozole tab 1mg,台灣東洋,衛署藥製 047539,,Y,,940905,Arimidex tab 1mg,AstraZeneca,U.S.A.
Anastrozole tab 1mg,美時,衛署藥製 048909,,Y,,960111,Arimidex tab 1mg,AstraZeneca,U.S.A.
Anastrozole tab 1mg,吉富,衛署藥輸025288,,Y,,991014,Arimidex tab 1mg,AstraZeneca,U.S.A.
Anastrozole tab 1mg,培力,衛署藥製 055555,,Y,,991119,Arimidex tab 1mg,AstraZeneca,U.S.A.
Anastrozole tab 1mg,杏輝,衛署藥製056730,,Y,,1000125,Arimidex tab 1mg,AstraZeneca,U.S.A.
Aripiprazole OD tab 10mg,中國化學,衛部藥製058180,,,Y,1020701,Arizole OD tab 15mg,中國化學,Taiwan
Aripiprazole oral solution 1 mg/ml,晟德,衛署藥製 057998,,Y,,1011219,Abilify Oral Solution 1mg/mL,Bristol-Myers Squibb,USA
Aripiprazole tab 10mg,瑩碩,衛署藥製 055227,,Y,,990429,Otsuka Abilify tab 10mg,Otsuka,Japan
Aripiprazole tab 10mg,吉富,衛署藥輸 025218,,Y,,990125,Otsuka Abilify tab 10mg,Otsuka,Japan
Aripiprazole tab 10mg,中化,衛署藥製055904,,Y,,991220,Otsuka Abilify tab 10mg,Otsuka ,Japan
Aripiprazole tab 10mg,瑞士,衛署藥製056718,,Y,,1000815,Otsuka Abilify tab 10mg,Otsuka,Japan
Aripiprazole tab 10mg,生達,衛署藥製057131,,Y,,1001209,Otsuka Abilify tab 10mg,Otsuka ,Japan
Aripiprazole tab 10mg,健亞,衛署藥製 057320,,,Y,1010416,Aripiprazole tab 15mg,健亞,Taiwan
Aripiprazole tab 10mg,景德,衛署藥製 057341,,Y,,1010817,Otsuka Abilify tab 10mg,Otsuka,Japan
Aripiprazole tab 10mg,鴻汶,衛部藥製 058055,,Y,,1010921,Otsuka Abilify tab 10mg,Otsuka,Japan
Aripiprazole tab 15mg,瑩碩,衛署藥製055544,,,Y,991102,Ariple tab 10mg,聯亞新竹廠,Taiwan
Aripiprazole tab 15mg,生達,衛署藥製057142,,,Y,1010305,Arify tab 10mg,生達,Taiwan
Aripiprazole tab 15mg,中化,衛署藥製 057733,,,Y,1011024,Arizole tab 10mg,中化,Taiwan
Aripiprazole tab 15mg,健亞,衛署藥製 057364,,Y,,1001123,Abilify tab 15mg,"Otsuka, 2nd tokushima",Japan
Aripiprazole tab 20mg,五洲,衛署藥製056708,,Y,,990929,Abilify tab 20mg,Otsuka ,Japan
Aripiprazole tab 20mg,瑩碩,衛署藥製056726,,,Y,1000719,Ariple tab 10mg,聯亞生技,Taiwan
Aripiprazole tab 20mg,美迪亞,衛署藥製057382,,Y,,1010210,Abilify tab 20mg,Otsuka ,Japan
Atomoxetine cap 18mg,瑩碩,衛署藥製 057377,,,Y,1010823,Mixre cap 25mg,聯亞,Taiwan
Atomoxetine cap 25mg,瑩碩,衛署藥製056738,,Y,,1000401,Strattera Hard cap 25mg,Lilly del Caribe,Puerto Rico
Atomoxetine cap 40mg,瑩碩,衛署藥製 057401,,,Y,1010817,Mixre cap 25mg,聯亞,Taiwan
Atomoxetine HCl cap 40mg,仕康,衛部藥製 058138,,Y,,1020318,Strattera Cap 40mg,Lilly Del Caribe Inc.,Puerto Rico
Atorvastatin Calcium Tab 20mg,健喬信元,衛部藥製 058211,,,Y,1020701,Atotin Tab 40mg,健喬信元,Taiwan
Atorvastatin Calcium Tab 40mg,中國化學,衛部藥製 058041,,Y,,1020719,Lipitor Tab 40mg,Pfizer Ireland Pharmaceuticals,Ireland
Atorvastatin tab 10mg,瑩碩,衛署藥製 048879,,Y,,960620,Lipitor tab 10mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 10mg,健亞,衛署藥製 049543,,Y,,970123,Lipitor tab 10mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 10mg,中化,衛署藥製 051598,,Y,,980716,Lipitor  tab 10mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 10mg,台灣諾華,衛署藥輸 025200,,Y,,981125,Lipitor  tab 10mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 10mg,生達,衛署藥製 055272,,,Y,990727,Atorva tab 40mg,生達,Taiwan
Atorvastatin tab 10mg,十全,衛署藥製055895,,,Y,991216,"Atorcal tab 40mg ""S.C.""",十全,Taiwan
Atorvastatin tab 10mg,大豐,衛署藥製056319,,,Y,1000513,Lipiminus F.C. tab 40mg,大豐,Taiwan
Atorvastatin tab 10mg,瑞士,衛署藥製056791,,Y,,1000826,Lipitor  tab 10mg,Pfizer,Ireland
Atorvastatin tab 10mg,健喬信元,衛署藥製 057267,,,Y,1001209,Lipitin tab 40mg,健喬信元,Taiwan
Atorvastatin tab 10mg,優生,衛署藥製 057930,,Y,,1000811,Lipitor tab 10mg,Godecke GmbH,Germany
Atorvastatin tab 10mg,培力,衛署藥製 057774,,,Y,1020318,Atover Tab 40mg,培力,Taiwan
Atorvastatin tab 20mg,瑩碩,衛署藥製 049226,,,Y,961227,Anxolipo tab 10mg,瑩碩-聯亞,Taiwan
Atorvastatin tab 20mg,健亞,衛署藥製 052530,,,Y,981030,Atorin tab 10mg,健亞,Taiwan
Atorvastatin tab 20mg,十全,衛署藥製055583,,,Y,991210,"Atorcal tab 40mg ""S.C.""",十全,Taiwan
Atorvastatin tab 20mg,大豐,衛署藥製 055956,,,Y,990924,Lipiminus F.C. tab 40mg,大豐,Taiwan
Atorvastatin tab 20mg,台灣諾華,衛署藥輸 025337,,,Y,991217,Tulip  tab 40mg,Lek ,Slovenia
Atorvastatin tab 20mg,中化,衛署藥製055952,,,Y,990310,Atoty tab 10mg,中國化學,Taiwan
Atorvastatin tab 20mg,生達,衛署藥製 057805,,,Y,1011127,"Atorva tab 40mg ""Standard""",生達,Taiwan
Atorvastatin tab 20mg,鴻傑,衛署藥製056739,,Y,,1000422,Lipitor tab 20mg,Pfizer,Ireland
Atorvastatin tab 40mg,瑩碩,衛署藥製 049288,,,Y,970125,Anxolipo tab 10mg,聯亞,Taiwan
Atorvastatin tab 40mg,健亞,衛署藥製 051732,,,Y,981102,Atorin tab 10mg,健亞,Taiwan
Atorvastatin tab 40mg,大豐,衛署藥製 052301,,Y,,980410,Lipitor tab 40mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 40mg,台灣諾華,衛署藥輸 025201,,Y,,981123,Lipitor tab 40mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 40mg,生達,衛署藥製 055268,,Y,,990304,Lipitor tab 40mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 40mg,培力,衛署藥製 054967,,Y,,990419,Lipitor tab 40mg,Parke-Davis/Godecke,Germany
Atorvastatin tab 40mg,健喬信元,衛署藥製057133,,Y,,1000308,Lipitor tab 40mg,Pfizer,Ireland
