試驗藥品非監視新藥成分,報告書准,報告書不准,報告書小計
Acebutolol tab 400mg,1,0,1
Acetaminophen ER tab 650mg,1,0,1
Acetaminophen tab 500mg,6,1,7
Acetylcysteine eff tab 600mg,1,0,1
Acetaminophen/Tramadol HCl Tab 325mg/37.5mg,2,0,2
Allopurinol tab 100mg,6,0,6
Allopurinol tab 300mg,1,0,1
Amantadine tab 100mg,1,0,1
Amikacin inj 125mg/ml,2,0,2
Amikacin inj 250mg/ml,1,1,2
Amiodarone tab 200mg,1,0,1
Amitriptyline SR cap 25mg,1,0,1
Amoxicillin cap 250mg,0,1,1
Amoxicillin cap 500mg,6,1,7
Amoxicillin susp 25mg/ml,1,0,1
Ampicillin 250mg & Cloxacillin 250mg cap,0,1,1
Ampicillin cap 250mg,0,1,1
Arginine Vasopressin inj 20UI/ml,1,0,1
Aspirin cap 100mg,4,1,5
Aspirin tab 324mg,0,1,1
Atenolol 100mg & Chlorthalidone 25mg tab,3,0,3
Atenolol tab 100mg,23,3,26
Atenolol tab 50mg,6,4,10
Baclofen tab 10mg,1,2,3
Baclofen tab 5mg,2,0,2
Benzbromarone cap 100mg,1,0,1
Benzbromarone cap 50mg,1,0,1
Benzbromarone tab 100mg,4,0,4
Benzbromarone tab 50mg,8,1,9
Bethanechol chloride tab 25mg,2,0,2
Biperiden SR tab 4mg,1,0,1
Biperiden tab 2mg,3,0,3
Bromhexine tab 8mg,1,0,1
Buflomedil tab 150mg,3,1,4
Calcium para-aminosalicylate hydrate granules 1gm/gm,1,0,1
"Calcium salmon,syn inj 50IU/ml",1,0,1
Carbamazepine mixture 20mg/ml,1,0,1
Carbamazepine SR tab 400mg,1,0,1
Carbamazepine tab 200mg,5,0,5
Cefaclor cap 250mg,6,1,7
Cefaclor cap 500mg,1,0,1
Cefaclor ER cap 375mg,1,0,1
Cefaclor oral susp 250mg/gm,1,0,1
Cefadroxil cap 500mg,5,0,5
Cefamandole inj 1gm/vial,1,0,1
Cefazolin inj 1g,7,0,7
Cefazolin inj 2g,2,0,2
Cefazolin inj 500mg,1,0,1
Cefmetazole inj 1g,1,0,1
Cefoperazone inj 1g,3,0,3
Cefotaxime inj 500mg,3,0,3
Cefoxitin inj 1g,2,0,2
Cephalexin cap 250mg,7,0,7
Cephalexin cap 500mg,9,0,9
Cephapirin inj 1gm,2,0,2
Cephradine Arg inj 1g,7,0,7
Cephradine cap 250mg,3,0,3
Cephradine cap 500mg,5,0,5
Chlorpromazine tab 100mg,1,0,1
Cimetidine tab 200mg,2,0,2
Cimetidine tab 400mg,4,0,4
Clindamycin cap 150mg,5,0,5
Clindamycin cap 300mg,2,0,2
Clindamycin inj 150mg/ml,4,0,4
Clonazepam tab 0.5mg,1,0,1
Clonazepam tab 2mg,1,0,1
Colchicine tab 0.5mg,3,0,3
Danazol cap 200mg,1,0,1
Dextromethorphan SR tab 60mg,3,0,3
Diazepam tab 2mg,1,0,1
Diazepam tab 5mg,0,2,2
Diclofenac Na EM cap 50mg,3,0,3
Diclofenac Na SR cap 100mg,1,0,1
Diclofenac Na SR tab 100mg,4,1,5
Diclofenac Na SR tab 75mg,2,0,2
Diclofenac Na tab 25mg,2,0,2
Diclofenac Na tab 50mg,2,1,3
Digoxin Elixir 0.05mg/ml,1,0,1
Digoxin tab 0.25mg,0,1,1
Diltiazem SR cap 120mg,1,0,1
Diltiazem tab 30mg,7,0,7
Diltiazem tab 5mg,0,1,1
Diltiazem tab 60mg,2,0,2
Diphenidol tab 25mg,5,0,5
Dipyridamole tab 25mg,7,2,9
Dipyridamole tab 50mg,1,0,1
Dipyridamole tab 75mg,1,0,1
Divalproex tab 250mg,1,0,1
Domperidone tab 10mg,4,0,4
Estazolam tab 2mg,2,0,2
Estradiol Patch 0.05mg,0,1,1
Fenoterol HBr tab 2.5mg,1,1,2
Flavoxate tab 200mg,1,0,1
Fludiazepam tab 0.25mg,3,0,3
Flunarizine cap 10mg,1,0,1
Flunarizine cap 5mg,1,0,1
Flunarizine tab 5mg,1,1,2
Flunitrazepam tab 1mg ,1,0,1
Flunitrazepam tab 2mg ,1,0,1
Flupentixol tab 3mg,1,0,1
Flupentixol/Melitracen 0.5mg/10mg,2,0,2
Flurbiprofen tab 100mg,1,0,1
Furosemide inj 10mg/ml,2,0,2
Furosemide tab 40mg,6,0,6
Gentamycin inj 40mg/ml(80mg/2ml),8,0,8
Gliclazide MR tab 30mg,11,0,11
Gliclazide MR tab 60mg,1,0,1
Gliclazide tab 80mg,7,3,10
Glipizide ER tab 5mg,1,0,1
Glipizide tab 5mg,3,0,3
Glyburide tab 5mg,11,1,12
Guaifenesin ER tab 600mg,1,0,1
Haloperidol Decanoate inj,1,0,1
Haloperidol tab 10mg,0,1,1
Haloperidol tab 5mg,2,0,2
Hydroxychlorquine sulfate tab 200mg,2,0,2
Ibuprofen lysinate tab 500mg,1,0,1
Ibuprofen supp. 50mg,0,1,1
Ibuprofen susp. 20mg/ml,1,0,1
Ibuprofen tab 400mg,2,0,2
imipramine tab 25mg,1,0,1
Indapamide SR tab 1.5mg,8,0,8
Indapamide tab 1.25mg,1,0,1
Indapamide tab 2.5mg,3,0,3
Isoniazid/Rifampicin/Pyrazinamide/Ethambutol F.C. Tab 37.5mg/75mg/200mg/137.5mg,1,0,1
Isorsorbide dinitrate tab 10mg,1,0,1
Isorsorbide mononitrate SR tab 40mg,1,0,1
Isorsorbide mononitrate SR tab 60mg,4,0,4
Isorsorbide mononitrate tab 20mg,2,0,2
Ketoprofen cap 50mg,1,0,1
Ketoprofen SR cap 200mg,1,0,1
Labetalol tab 200mg,1,0,1
Levonorgestrel tab 0.75mg,1,0,1
