主要成分,健保藥品代碼,備註,分裝,包裝規格,售價單位,售價單價,有效期間,管制級別,藥品名稱,藥品英文名稱,適應症
無水嗎啡100mg/Gm,A006235177,,1gm A006235199,1000Gm/罐、 500Gm/罐,公克,30,如標籤,1,阿片粉,Powdered Opium,鎮痛(製劑用原料)
無水嗎啡 10mg/ml,A005869155,3500ML/桶(暫停供應),1ml A005869199,25000ml/桶、3500ML/桶、 100/瓶,毫升,2.3,二年,1,阿片酊,Opium Tincture,鎮痛
無水嗎啡 0.5mg/ml,A005863177,(暫停供應),1ml A005863199,500ml/瓶,毫升,0.27,三年,4,阿片樟腦酊,Camphorated Opium Tincture,鎮痛、鎮咳
硫酸嗎啡 2mg/ml,A049758199,,,120ml/瓶,瓶,240,二年,1,"""管制藥品廠""硫酸嗎啡口服液 ","""PPCD"" Morphine Sulfate Oral Solution",解除末期癌症病人之嚴重疼痛
鹽酸嗎啡,, (暫停供應),,10Gm/瓶,公克,90,如標籤,1,鹽酸嗎啡,Morphine Hydrochloride,鎮痛(調劑或製劑用原料)
鹽酸嗎啡10mg/ml,A005891209,,,1ml/安瓿、 10支/盒,支,16,二年,1,鹽酸嗎啡注射液10毫克/毫升,Morphine Hydrochloride Injection 10mg/ml,鎮痛
鹽酸嗎啡20mg/ml,A005886209,,,1ml/安瓿、 10支/盒,支,18,二年,1,鹽酸嗎啡注射液20毫克/毫升,Morphine Hydrochloride Injection 20mg/ml,鎮痛
鹽酸嗎啡10mg/Tab,A005860100,,,100Tab/盒,粒,2.8,二年,1,鹽酸嗎啡錠10毫克,(Morphine Hydrochloride Tablets 10mg),鎮痛
硫酸嗎啡15mg/Tab,A056306100,(101年12月17日開始銷售),,100Tab/瓶 ,粒,3.3,二年,1," ""管制藥品廠""硫酸嗎啡錠15毫克","""PPCD"" Morphine Sulfate Tablets 15mg",重度疼痛之緩解
硫酸嗎啡30mg/Tab,A042534100,,,50Tab/盒,粒,12.5,二年,1,”管制藥品廠”嗎啡長效膜衣錠30毫克,Morphine Sulfate Sustained Release F.C.Tablets 30mg”PPCD”,緩解嚴重及頑固性疼痛
硫酸嗎啡60mg/Tab　,B019000100,,,30Tab/盒,粒,80,如標籤,1,硫酸嗎啡長效膜衣錠60毫克,MST Continus Tablets 60mg,緩解嚴重及頑固性疼痛
硫酸嗎啡 60 mg/cap,B023779100,(100年6月1日開始銷售）,,28Cap/盒,粒,95,如標籤,1,默痛舒持續性藥效膠囊60mg/cap ,MXL Capsule 60mg,解除末期癌症病患之嚴重疼痛
Hydromorphone HCl 8mg/Tab,B026037100,(103年7月25日開始銷售),,28Tab/盒,粒,135,二年,2,釋通緩釋錠8毫克,Jurnista Prolonged-Release Tablets 8mg,解除癌症末期病患之嚴重疼痛
鹽酸配西汀50mg/ml 　,A005874209,,,1ml/安瓿、 10支/盒,支,20,五年,2,鹽酸配西汀注射液50毫克/毫升 ,Pethidine Hydrochloride Injection 50 mg/ml,鎮痛
鹽酸配西汀50mg/Tab,A005858100,,,70Tab/盒,粒,5.5,二年,2,鹽酸配西汀錠50毫克,Pethidine Hydrochloride Tablets 50 mg,鎮痛
吩坦尼0.05mg/ml,楊森B021224229   、菲尼斯B024154229,    用於麻醉時不另給付,,10ml/安瓿、 5支/盒,支,98,如標籤,2,"吩坦尼注射液0.05毫克/毫升,10毫升/安瓿","Fentanyl Injection 0.05mg/ml,10ml/amp",麻醉和麻醉前給藥、急性疼痛之緊急治療
吩坦尼0.05mg/ml,A044332212,用於麻醉時不另給付,,2ml/安瓿、 10支/盒,支,20,五年,2,"”管制藥品廠”吩坦尼注射液0.05毫克/毫升,2毫升/安瓿","Fentanyl Injection 0.05mg/mL,2ml/amp ”PPCD”",麻醉和麻醉前給藥、急性疼痛之緊急治療
吩坦尼 2.100mg/patch,B0248703B9,,,5片/盒,片,188,如標籤,2,楊森”多瑞喜穿皮貼片劑12微公克/小時,Durogesic D-TRANS Transdermal Patch 12mcg/h,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛
吩坦尼 2.5mg/patch,A050018311,,,5片/盒,片,220,二年,2,“管制藥品廠” 吩坦尼穿皮貼片劑25微公克/小時,Fentanyl Transdermal Patch 25mcg/hr “PPCD”,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛
