認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,認證項目,公告資訊名稱,公告資訊連結,認證證書連結
001,財團法人食品工業發展研究所(檢驗技術研發及服務中心),30062新竹市東區食品路331號,(03) 5223191,http://www.firdi.org.tw/2/2-1.htm,103.06.26,水分、粗灰分、粗脂肪、粗蛋白、粗纖維、著色劑、咖啡因、酸度、酸價、皂化價、過氧化價、碘價、糖度、維生素A、B1、B2、B12、E、葉酸、過氧化氫、二氧化硫(食品)、二氧化硫(免洗筷)、沙門氏桿菌、仙人掌桿菌、單核球增多性李斯特菌、乙型受體素類、氯黴素類、脂肪酸、順丁烯二酸、防腐劑,衛生福利部103年06月26日部授食字第1031103047號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30381&chk=d43d2b9d-e6b1-4d68-a630-90b063963f27,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18940&chk=3d7ffdea-8ed1-4fc3-9b6c-abaf2bb7e18a
002,台灣檢驗科技股份有限公司,,,,,,,,
(食品實驗室-台北),24886新北市五股區新北產業園區五工路125號,(02) 2299-3279,http://www.tw.sgs.com/zh_tw/home_tw_v2?,103.11.21,水分、粗灰分、粗脂肪、甲醛、甲基汞、重金屬(以Pb計)、乙型受體素類、二氧化硫(食品)、抗氧化劑、三聚氰胺、三聚氰酸、咖啡因、塑化劑、橘黴素、赭麴毒素A、棒麴毒素、黃麴毒素、卡巴得及其代謝物、抗原蟲劑、動物用藥-多重殘留分析、殘留農藥(二)、(四)、氯黴素類、孔雀綠及其代謝物、硝基呋喃代謝物、丙酸、亞硝酸鹽、四環黴素類、硼酸及其鹽類、過氧化氫(食品)、防腐劑、甜味劑、無機砷(水產品)、順丁烯二酸、3-單氯丙二醇、水產動物類重金屬(鉛、鎘)、-內醯胺類抗生素、生菌數、大腸桿菌群、大腸桿菌、金黃色葡萄球菌、黴菌及酵母菌、仙人掌桿菌、沙門氏桿菌、食品中磷酸鹽,衛生福利部103年11月21日部授食字第1031105861號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32920&chk=df1bfdd0-3561-4df2-b650-49cd454fa66c,http://172.16.0.45/upload/133/2013122314120915261.pdf,
003,全國公證檢驗股份有限公司(化學與微生物實驗室),11492台北市內湖區瑞光路423號8樓,(02)6602-2888,http://www.intertek-twn.com/big5/news/index_news.asp?page_id=7&project_code=0,103.12.30,水分、粗灰分、粗脂肪、粗蛋白、二氧化硫(食品)、糖類、總糖、果糖酸、還原糖、礦物質(鈣、銅、鐵、鎂、錳、磷、鉀、鈉、鋅)、橘黴素、棒麴毒素、黃麴毒素、重金屬(以Pb計)、維生素A、C、甜味劑、甲醛、乙型受體素類、孔雀綠及其代謝產物、塑化劑、著色劑、防腐劑、抗氧化劑、三聚氰胺及三聚氰酸、壬基苯酚及壬基苯酚聚乙氧基醇、溴酸鹽、過氧化氫(食品)、過氧化氫(免洗筷)、硝基喃代謝物、氯黴素類、丙酸、殘留農藥(二)、(四)、二氧化硫(免洗筷)、硼酸及其鹽類、生菌數、大腸桿菌、大腸桿菌群、金黃色葡萄球菌、沙門氏桿菌、仙人掌桿菌、病原性大腸桿菌、腸炎弧菌、黴菌及酵母菌、單核球增多性李斯特菌、李斯特菌(乳品)、大腸桿菌O157：H7、阪崎腸桿菌、志賀氏桿菌、溶出試驗(鉛、鎘、砷、鋅、銻、鍺)、溶出試驗(雙酚A)、溶出試驗(以Pb計)、耐熱試驗(包材)、著色劑(包材)、螢光增白劑(包材)、溶出試驗(高錳酸鉀消耗量、甲基丙烯酸甲酯單體、酚、氯仿可溶物、蒸發殘渣、氯甲代環氧丙烷單體、氯乙烯單體、總乳酸、己內醯胺單體、甲醛)、砷之檢驗(以As2O3計)、材質鑑別、材質試驗(二丁錫化物、鉛、鎘、氯乙烯單體、聚偏二氯乙烯單體、2-巰基咪唑啉、鋇)、動物用藥-多重殘留分析(二)、包裝飲用水中重金屬(鉛、鎘、銅、鋅、砷、汞)、食用油脂中重金屬(砷、鉛、銅、汞)、水產動物類中重金屬(鉛、鎘)、蔬果類中重金屬(鉛、鎘)、飲料類中重金屬(鉛、砷、銅、錫、銻)、甲基汞(二)、包裝飲用水中糞便性鏈球菌、包裝飲用水中綠膿桿菌、順丁烯二酸、溶出試驗(三聚氰胺)、3-單氯丙二醇、銅葉綠素、食品中脂肪酸、材質試驗(苯乙烯、甲苯、乙苯、正丙苯、異丙苯)、赭麴毒素A、溶出試驗(DBP、DEHP、BBP、DEHA、DINP、DIDP)、食品中磷酸鹽、殘留農藥-(五),衛生福利部103年12月30日部授食字第1031106594號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33644&chk=6a269210-a941-4433-9d87-861c6ebadc14,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5722&chk=87041daa-8fda-40d1-9ff7-8879a6137c28
004,財團法人台北市瑠公農業產銷基金會(農業檢驗中心),23141新北市新店區民權路50號4樓,(02) 2915-8703,http://www.liukung.org.tw/index7t.asp,104.01.13,黃麴毒素、殘留農藥-(四),衛生福利部104年01月13日部授食字第1041100078B號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33927&chk=7f9f92f4-5874-48a3-a04e-6466eb10151f,http://172.16.0.45/upload/133/2014010314110491564.pdf
005,台美檢驗科技有限公司(檢驗中心),24889新北市新莊區五股工業區五工五路21號,(02) 2298-1370,http://www.superlab.com.tw/,104.01.13,水分、粗灰分、粗脂肪、粗蛋白、礦物質-鈉、揮發性鹽基態氮、兒茶素、丙酸、糖類、Monacolin K、亞硝酸鹽、黴菌及酵母菌、抗生物質、單核球增多性李斯特菌、曲狀桿菌、耶辛尼氏腸炎桿菌、阪崎腸桿菌、霍亂弧菌、志賀氏桿菌、產氣莢膜桿菌、氣單胞菌、金黃色葡萄球菌、大腸桿菌O157：H7、黃麴毒素、赭麴毒素 A、棒麴毒素、橘黴素、三聚氰胺及三聚氰酸、過氧化氫、防腐劑、塑化劑、維生素 E、著色劑、硼酸、生菌數、大腸桿菌群、仙人掌桿菌、腸炎弧菌、乳酸菌、過氧化氫(免洗筷)、二氧化硫(免洗筷)、維生素C、氯黴素類、植物性成分-芒果、花生、動物性成分-金絲燕、冬蟲夏草、蛹蟲草、牛樟芝,衛生福利部103年08月27日部授食字第1031104062B號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33926&chk=016a5592-bea6-475b-8b7b-b1e2b18e14fe,
006,味全食品工業股份有限公司(中央研究所 分析檢驗中心),22102新北市汐止區新台五路一段98號15樓,(02) 2696-7969,http://www.arch-world.com.tw/Company/19415.html,102.11.22,灰分、水分、固形物、蛋白質、維生素C、酸度、粗脂肪、羥甲胺基氮,衛生福利部食品藥物管理署102年11月22日部授食字第1021151393號,http://172.16.0.45/upload/133/2013112715471337031.pdf,http://172.16.0.45/upload/133/2013120315501343517.pdf
007,台灣檢驗科技股份有限公司(超微量工業安全實驗室),24886新北市五股工業區五工路136-1號,(02) 2299-3279,http://www.tw.sgs.com/zh_tw/home_tw_v2?,103.10.16,食用油脂中重金屬-砷、鉛、銅、汞、食用菇類重金屬,,,
(鉛、鎘)、橘黴素、Monacolin K、水產動物類中重金屬(鉛、鎘)、正己烷,衛生福利部103年10月16日部授食字第1031105068號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32044&chk=fed3b022-9b68-4e2b-8092-a3d4895e14ef,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5932&chk=7a9a1bdd-2a2d-4e7a-8191-52314c450c6a,,,,,,
008,暐凱國際檢驗科技股份有限公司(食品安全檢驗中心),114台北市內湖區內湖路1段120巷15弄28號,(02) 8751-1232,http://www.fsii.com.tw/,103.06.04,孔雀綠及其代謝物、三聚氰胺、硼酸及其鹽類、過氧化氫、沙門氏桿菌、金黃色葡萄球菌、單核球增多性李斯特菌、大腸桿菌O157：H7、乙型受體素類、食用菇類重金屬(鉛、鎘)、順丁烯二酸、腸炎弧菌、黴菌及酵母菌,衛生福利部103年06月04日部授食字第1031102676號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30082&chk=de3f523e-d2af-482e-8706-58027d81595b,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=391&chk=3f676c47-ba53-49f7-818b-dcc1e7d9a68f
